,Pin,500keV,1000keV,1500keV,2000keV,2500keV
34,34.0,0.0,2.31634803125e-09,1.8422863593749997e-08,3.833821665625e-08,4.353052062499999e-08
35,35.0,0.0,2.55456121875e-09,2.6394653437499993e-08,5.11002391875e-08,6.982194156249998e-08
36,36.0,0.0,2.9788241874999997e-09,1.8900307374999997e-08,4.4313572062500005e-08,5.494574021875e-08
37,37.0,0.0,1.484096125e-09,2.1700040937500005e-08,4.199896968749999e-08,6.016707565624999e-08
38,38.0,0.0,1.9515045624999997e-09,1.829262378125e-08,3.286186803125e-08,5.194905034375e-08
39,39.0,1.330125e-13,1.1012306875000001e-09,1.970878215625e-08,3.4920208749999994e-08,4.0403407687500004e-08
40,40.0,0.0,2.3197625e-09,1.7067380625000004e-08,3.37949155625e-08,4.97945871875e-08
41,41.0,0.0,3.3693644687499997e-09,2.99343621875e-08,4.61355759375e-08,5.3061499375000006e-08
42,42.0,0.0,3.5561416874999996e-09,2.6937704062499998e-08,5.1100174531249995e-08,6.323867325000001e-08
43,43.0,0.0,3.219927093750001e-09,1.9529555687499996e-08,3.941325584375001e-08,5.459604749999998e-08
44,44.0,0.0,1.6938090937500002e-09,1.50370381875e-08,4.20888025e-08,6.247118656250001e-08
45,45.0,1.49741875e-13,3.4647171562499996e-09,2.7118185624999997e-08,4.6731249375e-08,7.276326218750002e-08
46,46.0,6.57290625e-13,3.46248021875e-09,2.607684578125e-08,5.69113046875e-08,7.996038499999998e-08
47,47.0,0.0,3.61471059375e-09,3.371210428125e-08,6.798202812500002e-08,8.358621312500001e-08
48,48.0,1.105225e-13,2.9723328125e-09,2.3352756187499996e-08,4.5197211593749994e-08,5.455663656250001e-08
49,49.0,0.0,3.5058957499999995e-09,2.4412229031250004e-08,4.728483925000001e-08,5.2086374687499997e-08
50,50.0,0.0,3.3961002500000004e-09,3.0424887750000006e-08,5.653930968749999e-08,6.23161896875e-08
51,51.0,2.686353125e-13,2.32922640625e-09,3.051733265625001e-08,5.6676212562499994e-08,7.673851968750002e-08
52,52.0,1.286771875e-13,2.13750853125e-09,2.4247401031249994e-08,4.63171138125e-08,5.649519725e-08
53,53.0,4.4705125e-13,3.6432750625000006e-09,3.173296746875e-08,6.491481978125e-08,7.276045290625e-08
54,54.0,0.0,2.54299396875e-09,1.91713419375e-08,4.1229249687500004e-08,5.2692139375e-08
55,55.0,6.573393749999999e-13,3.278298281250001e-09,2.8825286812500003e-08,5.0460964187499994e-08,6.295931103125e-08
56,56.0,1.457615625e-13,4.4334030937500005e-09,2.9525092187499998e-08,5.3668569374999995e-08,8.590155312500003e-08
57,57.0,3.09235625e-13,5.80805090625e-09,4.103060281250001e-08,7.318863125000002e-08,8.6612309375e-08
