,Lower_edge,Upper_edge,Centre
357,2.12604,2.13203,2.129035
358,2.13203,2.13801,2.13502
359,2.13801,2.144,2.141005
360,2.144,2.14998,2.1469899999999997
361,2.14998,2.15597,2.1529749999999996
362,2.15597,2.16196,2.1589650000000002
363,2.16196,2.16794,2.16495
364,2.16794,2.17393,2.170935
365,2.17393,2.17991,2.17692
366,2.17991,2.1859,2.182905
367,2.1859,2.19189,2.188895
368,2.19189,2.19787,2.19488
369,2.19787,2.20386,2.2008650000000003
370,2.20386,2.20984,2.20685
371,2.20984,2.21583,2.212835
372,2.21583,2.22182,2.218825
373,2.22182,2.2278,2.2248099999999997
374,2.2278,2.23379,2.2307949999999996
375,2.23379,2.23977,2.23678
376,2.23977,2.24576,2.2427650000000003
377,2.24576,2.25175,2.248755
378,2.25175,2.25773,2.25474
379,2.25773,2.26372,2.260725
380,2.26372,2.2697,2.26671
381,2.2697,2.27569,2.2726949999999997
382,2.27569,2.28168,2.2786850000000003
383,2.28168,2.28766,2.28467
384,2.28766,2.29365,2.290655
385,2.29365,2.29963,2.29664
386,2.29963,2.30562,2.302625
387,2.30562,2.31161,2.3086149999999996
388,2.31161,2.31759,2.3146
389,2.31759,2.32358,2.3205850000000003
390,2.32358,2.32956,2.3265700000000002
391,2.32956,2.33555,2.332555
392,2.33555,2.34154,2.338545
393,2.34154,2.34752,2.34453
394,2.34752,2.35351,2.3505149999999997
395,2.35351,2.3595,2.3565050000000003
396,2.3595,2.36548,2.36249
397,2.36548,2.37147,2.368475
398,2.37147,2.37745,2.37446
399,2.37745,2.38344,2.380445
400,2.38344,2.38943,2.3864349999999996
401,2.38943,2.39541,2.39242
402,2.39541,2.4014,2.3984050000000003
403,2.4014,2.40738,2.4043900000000002
404,2.40738,2.41337,2.410375
405,2.41337,2.41936,2.416365
406,2.41936,2.42534,2.42235
407,2.42534,2.43133,2.4283349999999997
408,2.43133,2.43731,2.43432
409,2.43731,2.4433,2.440305
410,2.4433,2.44929,2.446295
411,2.44929,2.45527,2.45228
412,2.45527,2.46126,2.458265
413,2.46126,2.46724,2.46425
414,2.46724,2.47323,2.4702349999999997
415,2.47323,2.47922,2.4762250000000003
416,2.47922,2.4852,2.4822100000000002
417,2.4852,2.49119,2.488195
418,2.49119,2.49717,2.49418
419,2.49717,2.50316,2.500165
420,2.50316,2.50915,2.5061549999999997
421,2.50915,2.51513,2.51214
422,2.51513,2.52112,2.518125
423,2.52112,2.5271,2.52411
424,2.5271,2.53309,2.530095
425,2.53309,2.53908,2.536085
426,2.53908,2.54506,2.54207
427,2.54506,2.55105,2.5480549999999997
428,2.55105,2.55703,2.55404
429,2.55703,2.56302,2.560025
430,2.56302,2.56901,2.566015
431,2.56901,2.57499,2.572
432,2.57499,2.58098,2.577985
433,2.58098,2.58696,2.58397
434,2.58696,2.59295,2.589955
435,2.59295,2.59894,2.595945
436,2.59894,2.60492,2.60193
437,2.60492,2.61091,2.607915
438,2.61091,2.61689,2.6139
439,2.61689,2.62288,2.619885
440,2.62288,2.62887,2.6258749999999997
441,2.62887,2.63485,2.63186
442,2.63485,2.64084,2.637845
443,2.64084,2.64682,2.64383
444,2.64682,2.65281,2.6498150000000003
445,2.65281,2.6588,2.655805
446,2.6588,2.66478,2.66179
447,2.66478,2.67077,2.667775
448,2.67077,2.67675,2.67376
449,2.67675,2.68274,2.679745
450,2.68274,2.68873,2.685735
451,2.68873,2.69471,2.69172
452,2.69471,2.7007,2.697705
453,2.7007,2.70668,2.70369
454,2.70668,2.71267,2.709675
