,Pin,500keV,1000keV,1500keV,2000keV,2500keV
101,101.0,0.0,4.890006578279993e-10,3.5607343610510984e-09,5.795612597400776e-09,7.260853371964674e-09
102,102.0,0.0,3.0796089498906255e-10,3.2545494032073638e-09,5.860723029439992e-09,6.7950299762991656e-09
103,103.0,0.0,2.5893937760469744e-10,2.585861894832024e-09,5.407193232792198e-09,6.699791829152765e-09
104,104.0,0.0,4.3768551474436644e-10,2.23952445112306e-09,5.020694706016462e-09,6.099168048468743e-09
105,105.0,0.0,4.818860891759923e-10,2.7285966805428215e-09,3.1086743586788744e-09,3.4712385761970305e-09
106,106.0,0.0,5.986531391121747e-10,3.9270533262173e-09,6.791961282229254e-09,7.816206349817492e-09
107,107.0,0.0,4.847399259569941e-10,3.018324186404255e-09,4.400729495309682e-09,6.377185404202116e-09
108,108.0,0.0,3.1409293119366766e-10,2.7781908348792598e-09,5.290297492613583e-09,9.210601039836998e-09
109,109.0,0.0,4.727306381164263e-10,1.672055267297443e-09,4.042655298009056e-09,6.731080582275402e-09
110,110.0,0.0,3.864342986177769e-10,2.6811237524997587e-09,5.7356636815410704e-09,6.286287293056244e-09
111,111.0,0.0,5.300280837931595e-10,3.1165744205713365e-09,6.047393771810762e-09,7.838747786951671e-09
112,112.0,0.0,1.3554564450017842e-10,1.6167355886427355e-09,2.874946039225979e-09,6.879407080884086e-09
113,113.0,0.0,7.740487535620638e-10,2.749025841038882e-09,5.677431917528525e-09,6.819130896383772e-09
114,114.0,0.0,6.355222161950819e-10,1.8675028776364696e-09,3.3443154759479263e-09,5.323679552589817e-09
115,115.0,0.0,5.4715e-11,9.211604316538609e-10,3.1507349268151422e-09,7.060986280779109e-09
116,116.0,0.0,8.525576376154549e-11,1.7620413215486624e-09,3.8759042991249425e-09,4.879343573535425e-09
117,117.0,0.0,0.0,1.925717035667567e-09,5.649457516080117e-09,7.344354546090374e-09
118,118.0,0.0,9.221723046875001e-11,1.9162819789501002e-09,4.15728575343033e-09,8.213615668723717e-09
119,119.0,0.0,0.0,9.331037339489142e-10,2.889149319237089e-09,4.0201208030983855e-09
120,120.0,0.0,1.1253177121401961e-10,2.0457268059813946e-09,4.503795684517509e-09,5.662370971038138e-09
121,121.0,0.0,2.936628289990788e-11,1.7527898432736068e-09,4.082095100006039e-09,4.486217748567417e-09
122,122.0,0.0,2.1135463729188713e-10,2.679047804463129e-09,3.759581394289901e-09,5.3133685512064605e-09
123,123.0,0.0,5.162728592256719e-10,1.1624878854407565e-09,2.5956962412450556e-09,4.228055260978327e-09
124,124.0,0.0,2.6546656631403964e-11,1.9110567127437898e-09,4.05444853006002e-09,5.606813146816356e-09
125,125.0,0.0,1.676359897130396e-10,1.628285919916204e-09,2.4663627313844205e-09,3.2953949910656053e-09
126,126.0,0.0,4.2606107241761074e-10,2.609701442782793e-09,4.190713523500037e-09,6.789833736249968e-09
