,Pin,500keV,1000keV,1500keV,2000keV,2500keV
42,42.0,0.0,8.980928703432319e-10,5.319535076435187e-09,9.329153741298537e-09,1.1261726956103071e-08
43,43.0,0.0,7.553267701896774e-10,3.571593149551366e-09,6.620792056435764e-09,8.84303474888552e-09
44,44.0,0.0,4.047195431526111e-10,2.5150800194353777e-09,5.980164144048572e-09,8.653795117033962e-09
45,45.0,1.49741875e-13,5.413984503891081e-10,3.0305289598200144e-09,5.429074543494889e-09,8.231948644982529e-09
46,46.0,6.57290625e-13,6.374274825810186e-10,3.5881462307405374e-09,7.4170884521492506e-09,9.537417678362335e-09
47,47.0,0.0,7.459325657211718e-10,5.494226355198407e-09,9.874756529845291e-09,1.2007812573209748e-08
48,48.0,1.105225e-13,7.677748484992645e-10,4.758864568153209e-09,8.04577418877144e-09,9.051154696863274e-09
49,49.0,0.0,8.295765108178626e-10,4.67425951239807e-09,8.19272320889902e-09,9.76374361158038e-09
50,50.0,0.0,8.768401762167455e-10,5.677975304024159e-09,9.345184110411859e-09,1.008403315793588e-08
51,51.0,2.686353125e-13,5.522937667157377e-10,5.2811887369181684e-09,9.411725348588035e-09,1.139651785769037e-08
52,52.0,1.286771875e-13,6.693096938126283e-10,4.6338804277506575e-09,8.347086717816999e-09,9.603332954109788e-09
53,53.0,3.193247504525174e-13,7.998476812921403e-10,5.120013663356596e-09,9.740695115308046e-09,1.1176414352843472e-08
54,54.0,0.0,6.810701665955504e-10,3.750253305505845e-09,7.3470599921170735e-09,9.166579817635552e-09
55,55.0,4.004620576920822e-13,7.399664601749921e-10,4.4402339851565406e-09,6.966743367237253e-09,8.663312319919101e-09
56,56.0,1.457615625e-13,5.672153708983527e-10,3.3169008260935847e-09,5.420154171907228e-09,8.172274021532238e-09
57,57.0,2.1958804358335548e-13,6.229686600899624e-10,3.2215924173912137e-09,6.122237292762949e-09,7.011859913622075e-09
58,58.0,2.5885019544541376e-13,7.482917867864699e-10,4.4389046594755585e-09,7.28355226492467e-09,8.8355313846327e-09
59,59.0,3.273236745975622e-13,5.677497305667442e-10,5.897152983312865e-09,9.108513826691535e-09,1.2422544056157755e-08
60,60.0,0.0,1.1949290997029736e-09,6.104370125066832e-09,1.0759705840636957e-08,1.3855441231077626e-08
61,61.0,1.210525e-13,1.1310762018217898e-09,6.863499099831813e-09,1.0255910923034178e-08,1.4442099533820857e-08
62,62.0,1.305378125e-13,1.1248562703905193e-09,6.732610055991766e-09,1.028833897013723e-08,1.127756250848536e-08
63,63.0,4.649617874193064e-13,9.47813434269275e-10,4.654286353903189e-09,9.57901186947075e-09,1.1149659325940278e-08
64,64.0,1.823981420463834e-13,8.493448164971879e-10,5.415986096553534e-09,9.414720746078975e-09,1.1750486103670894e-08
65,65.0,1.8872920710311252e-13,8.952506608870901e-10,5.427396063066559e-09,1.0346751874880004e-08,1.2357938707036214e-08
66,66.0,2.5688880349849935e-13,7.126542475430757e-10,5.55569836915082e-09,9.556841323908603e-09,1.3106802885610538e-08
67,67.0,1.324896875e-13,9.736376800771013e-10,4.9681809000532464e-09,8.661568271838753e-09,1.1341810439919084e-08
68,68.0,2.879358803809317e-13,8.793870146365525e-10,5.481892692328256e-09,7.474759735461524e-09,1.0531540852397103e-08
69,69.0,2.994015957267604e-13,7.127297552219618e-10,3.5101441252806786e-09,6.373235212132434e-09,8.074818035235558e-09
70,70.0,4.5464916973260935e-13,7.674567528203064e-10,4.9068545515919195e-09,7.79515737707919e-09,1.0224509055423033e-08
71,71.0,4.992164980729726e-13,9.481011577060911e-10,5.623994223203847e-09,1.0678062053202702e-08,1.330512733969148e-08
72,72.0,4.950709482214304e-13,1.1494619551567698e-09,5.980584768283587e-09,1.1203297022536488e-08,1.512753786077913e-08
73,73.0,3.978555198649252e-13,1.2323078975135114e-09,7.16776287129452e-09,1.2852405072159968e-08,1.446271789543632e-08
74,74.0,3.11602986166047e-13,1.0671425400617255e-09,6.786400782221965e-09,1.1106851079625787e-08,1.214388323791672e-08
75,75.0,2.715689325903134e-13,1.2433010121395835e-09,6.078440914257643e-09,1.0942259296861564e-08,1.4090996270740187e-08
76,76.0,4.469778030059744e-13,1.1658926608056241e-09,6.6283499770646024e-09,1.0781356048033237e-08,1.4728121105142766e-08
77,77.0,3.136172290916197e-13,1.2693760977405688e-09,6.1895197162762e-09,1.1401065771724818e-08,1.2844321595263904e-08
78,78.0,1.2021656873613164e-12,1.2092929984338654e-09,7.090772077638529e-09,1.1320212854483075e-08,1.6238773843795473e-08
79,79.0,3.6098706584261997e-13,1.021824893195573e-09,6.689633096922288e-09,1.2893453666845894e-08,1.6370338717861454e-08
80,80.0,3.6874312573759887e-13,1.0299972928228065e-09,5.546858866381694e-09,1.0214158753076165e-08,1.2191277656274926e-08
81,81.0,5.532373874472274e-13,9.572265730923825e-10,4.55732751910239e-09,7.898585062846971e-09,8.846129302924805e-09
82,82.0,6.937371248919687e-13,1.302942988445603e-09,6.792405497065073e-09,1.092234050988637e-08,1.3106787847976192e-08
83,83.0,7.725223216340713e-13,1.4221836126772746e-09,6.625871960804395e-09,1.2382854141028415e-08,1.533088093813327e-08
84,84.0,7.502611932500797e-13,1.664902184511142e-09,8.002181969729577e-09,1.2377513527866673e-08,1.6197149841905897e-08
85,85.0,6.619080572161312e-13,1.6447067531905814e-09,8.029123556828871e-09,1.3605347362297468e-08,1.7361947273828864e-08
86,86.0,8.777087219108786e-13,1.6424384881983246e-09,8.910932586162987e-09,1.44220910953917e-08,1.633971460434908e-08
87,87.0,3.5129238711653825e-13,1.4831443181547802e-09,8.55011269174243e-09,1.5511797705076947e-08,1.8846644896127072e-08
88,88.0,5.126388626691205e-13,1.735282752348939e-09,7.426690065218542e-09,1.354576754124008e-08,1.707182907319101e-08
89,89.0,6.481848812431198e-13,1.7817009471991303e-09,8.640743584961756e-09,1.3958124331158861e-08,1.8222811035161022e-08
