,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
190,1.0,14.0,60.0,0.5,3,0,600.0,9880.662701845837,1140.7391717158932,388.75426154538815,4.599289385627915,0.03984215970072116,0.004374979014057944,11898.962414885807,33.3013176534904
191,1.0,14.0,60.0,0.5,3,1,600.0,183288.8842738715,4380.748122336886,651.5496113998431,6.0129645691291955,0.003556071117276252,5.572103274826395e-05,11898.962414885807,33.3013176534904
200,1.0,14.0,60.0,1.0,0,0,600.0,4651.1113813626625,4897.8616510957,2188.395422989806,311.73757059315267,4.2045685609110896e+61,1.328931639456997e+63,48582.62193676901,270.6725082973747
201,1.0,14.0,60.0,1.0,0,1,600.0,24329.002235309035,8492.646010863591,1903.7416721024738,90.90590887143638,610061870.4130012,19282201358.046295,48582.62193676901,270.6725082973747
202,1.0,14.0,60.0,1.0,0,2,600.0,167435.2135230664,7676.77702807202,1394.0215148983411,41.53449365987125,0.00834370101240209,0.00046318391594667337,48582.62193676901,270.6725082973747
210,1.0,14.0,60.0,1.0,1,0,600.0,353157.346419538,9654.505270086205,1323.7699179364895,5.630078627356721,0.003750937519441927,9.432944589609587e-05,48582.62193676901,270.6725082973747
211,1.0,14.0,60.0,1.0,1,1,600.0,128787.13722884719,8535.850772486401,1524.3979992501977,6.922921741953382,0.011887539989166477,0.0007736332383815713,48582.62193676901,270.6725082973747
212,1.0,14.0,60.0,1.0,1,2,600.0,80588.41186607273,6957.752446359046,2079.1539123018883,9.533717494747274,0.025991402420711424,0.002241137548312934,48582.62193676901,270.6725082973747
213,1.0,14.0,60.0,1.0,1,3,600.0,27213.252985259172,6675.0285734797735,2023.9571579806086,9.203089167662451,0.07989176490394505,0.025669289732134486,48582.62193676901,270.6725082973747
220,1.0,14.0,60.0,1.0,2,0,600.0,208532.67077348504,9631.909090782496,1140.9095498755912,6.328853537645174,0.005481803824701918,0.00023237974690636903,48582.62193676901,270.6725082973747
221,1.0,14.0,60.0,1.0,2,1,600.0,139625.95588580726,8858.796586007538,1094.739358462536,6.516242292521905,0.007870093946843891,0.00046946568373299553,48582.62193676901,270.6725082973747
230,1.0,14.0,60.0,1.0,3,0,600.0,46548.12338746349,5244.256354342507,781.7220248660686,9.998506943057064,0.01699470539453386,0.0018141827035658502,48582.62193676901,270.6725082973747
231,1.0,14.0,60.0,1.0,3,1,600.0,741311.9884956725,18961.71565020959,1304.950721228453,12.910083884726726,0.0017610561144235462,2.9079197604964784e-05,48582.62193676901,270.6725082973747
